Word,id_sent,tagm,Pos-tag1,Pos-tag2,Pos-tag3
на,0,prep,PREP,PR,ADP
следующий,0,partic,ADJF,A,ADJ
день,0,noun,NOUN,S,NOUN
в,0,prep,PREP,S,ADP
обед,0,noun,NOUN,S,NOUN
зеленин,0,noun,NOUN,S,NOUN
сидел,0,verb,VERB,V,VERB
в,0,prep,PREP,S,ADP
чайной,0,noun,ADJF,A,ADJ
и,0,conj,CONJ,CONJ,CCONJ
смотрел,0,verb,VERB,V,VERB
в,0,prep,PREP,S,ADP
окно,0,noun,NOUN,S,NOUN
на,0,prep,PREP,PR,ADP
бескрайнюю,0,adj,ADJF,A,ADJ
ширь,0,noun,NOUN,S,NOUN
озера,0,noun,NOUN,S,NOUN
было,1,verb,VERB,V,VERB
ветрено,1,adv,ADJS,ADV,ADJ
мрачно,1,adv,ADVB,ADV,ADJ
ходуном,1,adv,ADVB,ADV,ADV
ходил,1,verb,VERB,V,VERB
взлохмаченный,1,partic,PRTF,V,ADJ
горизонт,1,noun,NOUN,S,NOUN
некому,2,pronoun-adj,NPRO,SPRO,PRON
было,2,verb,VERB,V,VERB
заняться,2,verb,INFN,V,VERB
сейчас,3,adv,ADVB,ADV,ADV
зеленин,3,noun,NOUN,S,NOUN
чувствовал,3,verb,VERB,V,VERB
себя,3,pronoun-noun,NPRO,SPRO,PRON
словно,3,conj,CONJ,PART,SCONJ
древний,3,adj,ADJF,A,ADJ
мореплаватель,3,noun,NOUN,S,NOUN
только,3,adv,ADVB,PART,PART
что,3,conj,CONJ,SPRO,PRON
миновавший,3,partic,PRTF,V,VERB
геркулесовы,3,adj,ADJS,A,NOUN
столбы,3,noun,NOUN,S,NOUN
вот,4,particle,PRCL,PART,PART
представьте,4,verb,VERB,V,VERB
общественный,4,adj,ADJF,A,ADJ
транспорт,4,noun,NOUN,S,NOUN
автобус,4,noun,NOUN,S,NOUN
только,4,adv,ADVB,PART,PART
что,4,conj,CONJ,SPRO,PRON
остановился,4,verb,VERB,V,VERB
открылась,4,verb,VERB,V,VERB
передняя,4,adj,ADJF,A,ADJ
дверь,4,noun,NOUN,S,NOUN
с,4,prep,PREP,S,ADP
турникетом,4,noun,NOUN,S,NOUN
чтобы,4,conj,CONJ,CONJ,SCONJ
впустить,4,verb,INFN,V,VERB
садящихся,4,partic,PRTF,V,VERB
а,4,conj,CONJ,PART,CCONJ
потом,4,adv,ADVB,ADVPRO,ADV
уже,4,adv,ADVB,ADV,ADV
чтобы,4,conj,CONJ,CONJ,SCONJ
не,4,particle,PRCL,PART,PART
было,4,verb,VERB,V,VERB
зайцев,4,noun,NOUN,S,NOUN
откроются,4,verb,VERB,V,VERB
остальные,4,adj,ADJF,APRO,ADJ
двери,4,noun,NOUN,S,NOUN
чтобы,4,conj,CONJ,CONJ,SCONJ
выпустить,4,verb,INFN,V,VERB
сходящих,4,partic,PRTF,V,VERB
а,5,conj,CONJ,PART,CCONJ
вот,5,particle,PRCL,PART,PART
этого,5,pronoun-adj,NPRO,SPRO,PRON
ой,5,intj,INTJ,INTJ,INTJ
как,5,adv,CONJ,ADVPRO,SCONJ
не,5,particle,PRCL,PART,PART
хватает,5,verb,VERB,V,VERB
современному,5,adj,ADJF,A,ADJ
обществу,5,noun,NOUN,S,NOUN
если,6,conj,CONJ,CONJ,SCONJ
научить,6,verb,INFN,V,VERB
учащегося,6,noun,PRTF,S,VERB
в,6,prep,PREP,S,ADP
первую,6,num,ADJF,ANUM,ADJ
очередь,6,noun,NOUN,S,NOUN
вот,6,particle,PRCL,PART,PART
такой,6,pronoun-adj,ADJF,APRO,DET
вот,6,particle,PRCL,PART,PART
простой,6,adj,ADJF,A,ADJ
психологии,6,noun,NOUN,S,NOUN
переводить,6,verb,INFN,V,VERB
гневные,6,adj,ADJF,A,ADJ
выкрики,6,noun,NOUN,S,NOUN
в,6,prep,PREP,S,ADP
спокойные,6,adj,ADJF,A,ADJ
замечания,6,noun,NOUN,S,NOUN
то,6,particle,CONJ,PART,SCONJ
учащийся,6,noun,PRTF,S,NOUN
скорее,6,adv,CONJ,ADV,ADV
поймёт,6,verb,VERB,V,VERB
всю,6,pronoun-adj,ADJF,APRO,DET
вредность,6,noun,NOUN,S,NOUN
профессии,6,noun,NOUN,S,NOUN
преподавателя,6,noun,NOUN,S,NOUN
и,6,conj,CONJ,CONJ,CCONJ
просто,6,adv,PRCL,PART,PART
перестанет,6,verb,VERB,V,VERB
его,6,pronoun-adj,NPRO,SPRO,PRON
раздражать,6,verb,INFN,V,VERB
или,6,conj,CONJ,CONJ,CCONJ
научится,6,verb,VERB,V,VERB
хотя,6,conj,CONJ,PART,SCONJ
бы,6,particle,PRCL,PART,AUX
не,6,particle,PRCL,PART,PART
реагировать,6,verb,INFN,V,VERB
на,6,prep,PREP,PR,ADP
обидные,6,adj,ADJF,A,ADJ
слова,6,noun,NOUN,S,NOUN
мужчины,7,noun,NOUN,S,NOUN
плохо,7,adv,PRED,ADV,ADJ
понимают,7,verb,VERB,V,VERB
женщин,7,noun,NOUN,S,NOUN
но,7,conj,CONJ,CONJ,CCONJ
и,7,conj,CONJ,CONJ,CCONJ
сами,7,pronoun-adj,ADJF,APRO,ADJ
женщины,7,noun,NOUN,S,NOUN
часто,7,adv,ADVB,ADV,ADV
не,7,particle,PRCL,PART,PART
понимают,7,verb,VERB,V,VERB
самих,7,pronoun-adj,ADJF,APRO,ADJ
себя,7,pronoun-noun,NPRO,SPRO,PRON
женщины,8,noun,NOUN,S,NOUN
обладая,8,adv-partic,GRND,V,VERB
терпеливостью,8,noun,NOUN,S,NOUN
и,8,conj,CONJ,CONJ,CCONJ
усидчивостью,8,noun,NOUN,S,NOUN
способны,8,adj,ADJS,A,ADJ
выполнять,8,verb,INFN,V,VERB
тонкую,8,adj,ADJF,A,ADJ
и,8,conj,CONJ,CONJ,CCONJ
монотонную,8,adj,ADJF,A,ADJ
работу,8,noun,NOUN,S,NOUN
с,8,prep,PREP,S,ADP
заданной,8,partic,PRTF,A,VERB
программой,8,noun,NOUN,S,NOUN
действий,8,noun,NOUN,S,NOUN
мой,9,pronoun-adj,ADJF,APRO,DET
брат,9,noun,NOUN,S,NOUN
в,9,prep,PREP,S,ADP
москве,9,noun,NOUN,S,NOUN
мы,9,pronoun-noun,NPRO,SPRO,PRON
россию,9,noun,NOUN,S,NOUN
любим,9,verb,NOUN,V,VERB
на,9,prep,PREP,PR,ADP
русских,9,noun,ADJF,S,NOUN
бизнеса,9,noun,NOUN,S,NOUN
нет,9,particle,PRED,PART,VERB
убеждал,9,verb,VERB,V,VERB
меня,9,pronoun-noun,NPRO,SPRO,PRON
такой,9,pronoun-adj,ADJF,APRO,DET
впариватель,9,noun,NOUN,S,NOUN
возле,9,prep,PREP,PR,ADV
мечети,9,noun,NOUN,S,NOUN
байязет,9,noun,NOUN,S,NOUN
в,9,prep,PREP,S,ADP
стамбуле,9,noun,NOUN,S,NOUN
мы,10,pronoun-noun,NPRO,SPRO,PRON
духовны,10,adj,ADJS,A,ADJ
когда,10,conj,CONJ,ADVPRO,SCONJ
беседуем,10,verb,VERB,V,VERB
о,10,prep,PREP,INTJ,INTJ
дорогом,10,noun,ADJF,A,NOUN
с,10,prep,PREP,S,ADP
товарищем,10,noun,NOUN,S,NOUN
доверяя,10,adv-partic,GRND,V,VERB
его,10,pronoun-adj,NPRO,SPRO,PRON
уму,10,noun,NOUN,S,NOUN
и,10,conj,CONJ,CONJ,CCONJ
сердцу,10,noun,NOUN,S,NOUN
а,11,conj,CONJ,PART,CCONJ
увенчанный,11,partic,PRTF,V,VERB
славой,11,noun,NOUN,S,NOUN
военачальник,11,noun,NOUN,S,NOUN
был,11,verb,VERB,V,VERB
желанным,11,partic,ADJF,A,ADJ
гостем,11,noun,NOUN,S,NOUN
в,11,prep,PREP,S,ADP
доме,11,noun,NOUN,S,NOUN
своей,11,pronoun-adj,ADJF,APRO,DET
племянницы,11,noun,NOUN,S,NOUN
несмотря,12,prep,PREP,ADV,ADV
на,12,prep,PREP,PR,ADP
непогоду,12,noun,NOUN,S,NOUN
делает,12,verb,VERB,V,VERB
сквозь,12,prep,PREP,PR,ADP
льды,12,noun,NOUN,S,NOUN
проходы,12,noun,NOUN,S,NOUN
количество,13,noun,NOUN,S,NOUN
людей,13,noun,NOUN,S,NOUN
уровень,13,noun,NOUN,S,NOUN
которых,13,pronoun-adj,ADJF,APRO,PRON
позволяет,13,verb,VERB,V,VERB
делать,13,verb,INFN,V,VERB
последовательной,13,adj,ADJF,A,ADJ
перевод,13,noun,NOUN,S,NOUN
с,13,prep,PREP,S,ADP
языка,13,noun,NOUN,S,NOUN
и,13,conj,CONJ,CONJ,CCONJ
на,13,prep,PREP,PR,ADP
язык,13,noun,NOUN,S,NOUN
еще,13,adv,ADVB,ADV,ADV
меньше,13,adv,COMP,ADV,ADV
считается,13,verb,VERB,V,VERB
что,13,conj,CONJ,SPRO,PRON
таких,13,pronoun-adj,ADJF,APRO,DET
готовят,13,verb,VERB,V,VERB
в,13,prep,PREP,S,ADP
языковых,13,adj,ADJF,A,ADJ
вузах,13,noun,NOUN,S,NOUN
